,A-1,A-2,B,C,D,E,F-1,F-2
PLA2G2A,MTND1P23,HIST2H2BF,CFAP74,REG1A,DEFA4,IGHD,XIST,RPS4Y1
GSTM1,MFSD2A,ADAMTS4,C1orf158,PRL,DEFA3,IGHV1-2,,ZFY
ITLN1,CHIAP2,SELE,TEKT2,CPA1,MMP8,IGHV1-3,,PRKY
CHIT1,CHIA,PTX3,FAM183A,PRSS1,OLFM4,IGHV4-4,,TTTY15
RP11-343H5.4,TNR,ALB,LDLRAD1,PRSS2,PRTN3,IGHV5-10-1,,USP9Y
LINC01291,SLC26A9,CXCL8,C1orf87,GP2,CD177,IGHV2-70,,DDX3Y
RP11-77A13.1,PIGR,CXCL10,ERICH3,,,LL22NC03-88E1.18,,UTY
SFRP2,C4BPA,HSPA1A,C1orf194,,,IGLV11-55,,NLGN4Y
CTD-3080P12.3,SFTPB,HSPA1B,SPAG17,,,IGLV7-46,,TTTY14
BTNL3,AC008268.1,IL6,CCDC190,,,IGLV3-27,,TXLNGY
HLA-DQA2,SCN1A,PI15,DRC1,,,IGLV2-18,,RP11-424G14.1
NTM,LRP2,CCL19,SRD5A2,,,IGLV3-10,,KDM5D
CYP1A1,CCL20,HBB,VWA3B,,,,,EIF1AY
NPIPB15,SLC6A20,HBD,MAP3K19,,,,,
CCDC144A,LAMP3,SAA2,KIAA2012,,,,,
USP32P1,FGFBP1,MMP1,CFAP65,,,,,
ADCYAP1,HHIP,IFNG,TUBA4B,,,,,
FOSB,FGA,GREM1,SRGAP3-AS2,,,,,
CPXM1,FGG,C2CD4B,CDHR4,,,,,
SIK1,F11,HBA2,DNAH12,,,,,
C21orf33,DPCR1,HBA1,SNTN,,,,,
GPX1P1,PGC,CCL2,CFAP100,,,,,
,ADGRF1,CCL11,ZBBX,,,,,
,ROS1,SLC4A1,PROM1,,,,,
,LGI3,CTD-3128G10.7,TTC29,,,,,
,SFTPC,ALAS2,CAPSL,,,,,
,RP11-238K6.1,,CCNO,,,,,
,RP11-408O19.5,,FAM81B,,,,,
,HKDC1,,SCGB3A2,,,,,
,SFTPA2,,FABP6,,,,,
,SFTPA1,,SCGB3A1,,,,,
,SFTPD,,STMND1,,,,,
,ANKRD1,,ANKRD66,,,,,
,CRTAC1,,GSTA2,,,,,
,DMBT1,,GSTA1,,,,,
,ABCC8,,ADGB,,,,,
,SAA1,,C6orf118,,,,,
,ELF5,,EFCAB1,,,,,
,RND1,,C9orf24,,,,,
,SLC5A8,,DNAI1,,,,,
,FREM2,,C9orf135,,,,,
,CPB2,,MORN5,,,,,
,PLA2G4F,,WDR38,,,,,
,RASGRF1,,CFAP157,,,,,
,IRX6,,CFAP77,,,,,
,ALOX15B,,CCDC187,,,,,
,KRT16P2,,SPAG6,,,,,
,CSF3,,ARMC3,,,,,
,FUT3,,MSMB,,,,,
,CXCL17,,FRMPD2,,,,,
,NAPSA,,DYDC2,,,,,
,HAS1,,CFAP43,,,,,
,PCSK2,,PLEKHS1,,,,,
,LL22NC03-N95F10.1,,CFAP46,,,,,
,PLA2G3,,MUC5AC,,,,,
,AGTR2,,MUC5B,,,,,
,SLC6A14,,C11orf16,,,,,
,,,MS4A8,,,,,
,,,SCGB1A1,,,,,
,,,C11orf88,,,,,
,,,TSPAN19,,,,,
,,,CFAP73,,,,,
,,,CCDC60,,,,,
,,,STOML3,,,,,
,,,FAM216B,,,,,
,,,RP11-356K23.1,,,,,
,,,CCDC33,,,,,
,,,DNAH3,,,,,
,,,ERN2,,,,,
,,,RP11-467J12.4,,,,,
,,,DRC7,,,,,
,,,HYDIN,,,,,
,,,DNAAF1,,,,,
,,,FAM92B,,,,,
,,,ALOX15,,,,,
,,,TEKT1,,,,,
,,,CFAP52,,,,,
,,,DNAH9,,,,,
,,,ALDH3A1,,,,,
,,,RASL10B,,,,,
,,,KRT17,,,,,
,,,LRRC46,,,,,
,,,DNAI2,,,,,
,,,FOXJ1,,,,,
,,,CHST9,,,,,
,,,MUC16,,,,,
,,,NWD1,,,,,
,,,CYP2F1,,,,,
,,,CCDC114,,,,,
,,,CACNG6,,,,,
,,,SPEF1,,,,,
,,,BPIFA1,,,,,
,,,BPIFB1,,,,,
,,,C20orf85,,,,,
,,,UMODL1-AS1,,,,,
,,,RSPH1,,,,,
,,,LRRC74B,,,,,
,,,CFAP47,,,,,
